  No    Ref    V       B-V     U-B     N

 0006  2007  11.150   0.300   0.030    1
 0008  2007  11.670   0.390   0.150    1
 0041  2007  11.330   0.380   0.080    1
 0042  2007   9.960   0.230  -0.210    2
 0043  2007  12.350   0.410   0.070    1
 0044  2007  11.560   0.380   0.140    1
 0052  2007  10.770   0.390   0.210    1
 0066  2007  10.530   0.330   0.170    1
 0074  2007  10.770   0.280   0.020    1
 0075  2007  12.150   0.310   0.160    1
 0081  2007   8.470   1.340   1.470    2
 0087  1341  12.080   0.320   0.240      
 0087  2007  12.040   0.420   0.330    2
 0119  2007  10.930   0.220  -0.040    1
 0123  1341   8.180   0.060  -0.550      
 0123  2007   8.155   0.115  -0.538   25
 0124  2007  10.880   0.230  -0.060    1
 0129  1341  13.610   0.520   0.310      
 0129  2007  13.680   0.580            3
 0130  1341  11.210   0.210   0.040      
 0130  2007  11.180   0.320   0.070    2
 0131  1341  10.470   0.190              
 0131  2007  10.459   0.283  -0.015    3
 0136  2007  10.640   0.210  -0.230    2
 0137  1341  10.580   0.140  -0.090      
 0137  2007  10.524   0.255  -0.056    4
 0138  2007  11.650   0.310   0.130    1
 0139  1341  13.300   0.650   0.180      
 0139  2007  13.230   0.710   0.220    1
 0140  2007  12.307   0.411   0.358    8
 0142  1341  14.210   0.560   0.340      
 0142  2007  14.580   0.550            8
 0144  2007  10.210   0.270  -0.110    1
 0149  2007  12.520   0.320   0.270    1
 0150  2007  10.920   0.270  -0.100    1
 0151  2007  11.180   0.250   0.030    1
 0160  2007   9.790   0.220  -0.240    1
 0161  2007  10.650   0.260  -0.130    1
 0164  1341   9.390   0.160  -0.110      
 0164  2007   9.368   0.228  -0.113    5
 0168  2007  11.420   0.340   0.110    2
 0169  2007  11.560   0.210   0.230    1
 0172  2007  12.780   0.500   0.310    2
 0177  1341   9.200   0.130  -0.230      
 0194  2007  11.650   0.580  -0.010    2
 0195  2007  10.150   0.210  -0.300    2
 0196  1341  12.000   0.250   0.180      
 0196  2007  11.950   0.380   0.130    2
 0197  2007  10.612   0.275   0.090    3
 0202  2007  11.120   0.210  -0.090    1
 0204  2007  12.410   0.510  -0.060    1
 0207  2007  10.590   0.220  -0.020    1
 0208  2007  10.490   0.300   0.030    1
 0219  2007  10.410   0.230  -0.070    1
 0228  2007  10.910   0.360   0.210    1
 0229  2007  11.400   0.760   0.500    4
 0266  2007  12.560   0.510   0.150    1
 0267  2007  11.890   0.510  -0.330    1
 0271  2007  12.060   0.460   0.340    2
 0277  2007  12.330   0.420   0.090    1
 0279  2007  12.510   0.460   0.330    1
 0284  1341  11.070   0.200   0.010      
 0284  2007  11.050   0.290   0.040    4
 0285  1341   9.920   0.180  -0.180      
 0285  2007   9.910   0.246  -0.163    4
 0286  2007  13.180   0.610   0.420    2
 0287  1341  11.900   0.510   0.150      
 0287  2007  11.880   0.530   0.150    2
 0290  1341  12.540   0.380   0.220      
 0290  2007  12.490   0.450   0.180    4
 0293  1341   9.330   0.130  -0.230      
 0293  2007   9.317   0.199  -0.186    4
 0307  2007  10.030   0.170  -0.260    1
 0309  2007   9.010          -0.260    2
 0310  2007   7.410   1.087   0.885    6
 0310   368   7.420   1.120            2
 0317  2007  11.100   0.350   0.140    1
 0319  2007  12.490   0.510   0.560    1
 0320  2007  11.420   0.270   0.180    1
 0323  2007   9.640   0.250  -0.110    1
 0324  2007  11.610   0.320   0.120    1
 0326  2007  12.460   0.370   0.510    1
 0332  2007  12.330   0.630   0.130    1
 0334  2007  11.560   0.360   0.140    1
 0335  2007  10.510   0.340   0.070    2
 0336  2007  10.080   0.290  -0.150    1
 0364  1341   8.830   0.080  -0.290      
 0364  2007   8.733   0.162  -0.322    4
 0374  2007  11.700   0.390   0.210    1
 0380  2007  11.640   0.370   0.140    1
 0409  2007  10.120   0.270  -0.100    1
 0410  2007   9.980   0.200  -0.170    1
